Time,medNND_px,meanNND_px,Treatment,Population,Sex,Day,Box,Diameter,medianNNDscaled_mm,meanNNDscaled_mm
45,69.260378,64.483434,0,4,1,1,4,480,12.98632088,12.09064388
75,46.69549,61.008505,0,4,1,1,4,480,8.755404375,11.43909469
105,52.369081,50.381132,0,4,1,1,4,480,9.819202688,9.44646225
135,58.630184,57.321007,0,4,1,1,4,480,10.9931595,10.74768881
165,55.209948,61.642935,0,4,1,1,4,480,10.35186525,11.55805031
195,54.214724,62.677848,0,4,1,1,4,480,10.16526075,11.7520965
225,35.805028,46.260086,0,4,1,1,4,480,6.71344275,8.673766125
255,52.780876,59.538464,0,4,1,1,4,480,9.89641425,11.163462
285,46.698801,49.862214,0,4,1,1,4,480,8.756025188,9.349165125
315,53.964216,60.322224,0,4,1,1,4,480,10.1182905,11.310417
345,49.699756,56.059043,0,4,1,1,4,480,9.31870425,10.51107056
375,44.407207,52.954789,0,4,1,1,4,480,8.326351313,9.929022938
405,65.759322,65.997763,0,4,1,1,4,480,12.32987288,12.37458056
435,75.802375,62.168706,0,4,1,1,4,480,14.21294531,11.65663238
465,57.167705,71.918255,0,4,1,1,4,480,10.71894469,13.48467281
495,46.064844,48.787024,0,4,1,1,4,480,8.63715825,9.147567
525,47.027801,50.088121,0,4,1,1,4,480,8.817712688,9.391522688
555,43.697628,55.494162,0,4,1,1,4,480,8.19330525,10.40515538
585,44.659413,59.216153,0,4,1,1,4,480,8.373639938,11.10302869
615,39.675927,50.860354,0,4,1,1,4,480,7.439236313,9.536316375
645,40.360872,47.128129,0,4,1,1,4,480,7.5676635,8.836524188
675,43.139309,52.055965,0,4,1,1,4,480,8.088620438,9.760493438
705,39.272309,55.581702,0,4,1,1,4,480,7.363557938,10.42156913
735,47.801674,51.60402,0,4,1,1,4,480,8.962813875,9.67575375
765,40.576881,53.391858,0,4,1,1,4,480,7.608165188,10.01097338
795,40.492423,46.744987,0,4,1,1,4,480,7.592329313,8.764685063
825,47.212667,47.614686,0,4,1,1,4,480,8.852375063,8.927753625
855,42.011931,47.469746,0,4,1,1,4,480,7.877237063,8.900577375
885,37.696154,47.113472,0,4,1,1,4,480,7.068028875,8.833776
915,39.592823,42.272402,0,4,1,1,4,480,7.423654313,7.926075375
945,39.849718,45.498971,0,4,1,1,4,480,7.471822125,8.531057063
975,34,42.375568,0,4,1,1,4,480,6.375,7.945419
1005,42.09892,41.803865,0,4,1,1,4,480,7.8935475,7.838224688
1035,45.64485,44.569084,0,4,1,1,4,480,8.558409375,8.35670325
1065,42.11564,51.130591,0,4,1,1,4,480,7.8966825,9.586985813
1095,42.011903,46.410625,0,4,1,1,4,480,7.877231813,8.701992188
1125,48.695317,50.475508,0,4,1,1,4,480,9.130371938,9.46415775
1155,40.883487,47.105328,0,4,1,1,4,480,7.665653813,8.832249
1185,42.052266,48.659198,0,4,1,1,4,480,7.884799875,9.123599625
1215,41.886304,44.740483,0,4,1,1,4,480,7.853682,8.388840563
1245,50.183955,57.0187,0,4,1,1,4,480,9.409491563,10.69100625
1275,46.287008,51.414297,0,4,1,1,4,480,8.678814,9.640180688
1305,47.588508,51.380427,0,4,1,1,4,480,8.92284525,9.633830063
1335,56.466397,60.154966,0,4,1,1,4,480,10.58744944,11.27905613
1365,43.59893,44.784219,0,4,1,1,4,480,8.174799375,8.397041063
1395,47.588508,54.160241,0,4,1,1,4,480,8.92284525,10.15504519
1425,46.427849,52.025054,0,4,1,1,4,480,8.705221688,9.754697625
1455,48.329702,53.525784,0,4,1,1,4,480,9.061819125,10.0360845
1485,48.051194,55.297995,0,4,1,1,4,480,9.009598875,10.36837406
1515,48.086816,54.135813,0,4,1,1,4,480,9.016278,10.15046494
1545,48.398508,52.14936,0,4,1,1,4,480,9.07472025,9.778005
1575,51.340143,56.181128,0,4,1,1,4,480,9.626276813,10.5339615
1605,57.843185,57.143021,0,4,1,1,4,480,10.84559719,10.71431644
1635,49.701977,50.836132,0,4,1,1,4,480,9.319120688,9.53177475
1665,50.001603,50.888824,0,4,1,1,4,480,9.375300563,9.5416545
1695,50.841192,51.068463,0,4,1,1,4,480,9.5327235,9.575336813
1725,47.801674,49.028495,0,4,1,1,4,480,8.962813875,9.192842813
1755,49.444916,50.480451,0,4,1,1,4,480,9.27092175,9.465084563
1785,41.617304,45.922814,0,4,1,1,4,480,7.8032445,8.610527625
15,28.008331,49.195163,1,2,2,1,2,470,5.363297426,9.420350362
45,38.017231,45.600189,1,2,2,1,2,470,7.279895298,8.731951085
75,50.165847,60.170807,1,2,2,1,2,470,9.606226021,11.52206943
105,34.500207,46.267416,1,2,2,1,2,470,6.606422617,8.859717957
135,42.485292,48.598921,1,2,2,1,2,470,8.135481447,9.306176362
165,30.364453,50.208438,1,2,2,1,2,470,5.814469723,9.614381745
195,39.793098,46.995624,1,2,2,1,2,470,7.619954936,8.999162043
225,47.335062,53.397635,1,2,2,1,2,470,9.064160809,10.22507904
255,36.822311,56.553127,1,2,2,1,2,470,7.05108083,10.82932219
285,46.097722,54.99891,1,2,2,1,2,470,8.827223362,10.53170617
315,24.921549,38.921437,1,2,2,1,2,470,4.772211511,7.453041128
345,42.638011,45.335815,1,2,2,1,2,470,8.164725511,8.681326277
375,22.332869,29.861222,1,2,2,1,2,470,4.27650683,5.71810634
405,38.225907,38.755804,1,2,2,1,2,470,7.319854532,7.42132417
435,26.019224,30.536589,1,2,2,1,2,470,4.982404596,5.847431936
465,29.154759,42.727339,1,2,2,1,2,470,5.582826191,8.181830872
495,66.215434,64.293989,1,2,2,1,2,470,12.67955119,12.31161491
525,30.083239,49.690088,1,2,2,1,2,470,5.760620234,9.515123234
555,38.591154,41.415568,1,2,2,1,2,470,7.389795447,7.930640681
585,26.683328,36.919172,1,2,2,1,2,470,5.109573447,7.069628681
615,32.116216,51.070016,1,2,2,1,2,470,6.149913702,9.779364766
645,40.895201,46.589323,1,2,2,1,2,470,7.830995936,8.921359723
675,39.214056,53.684283,1,2,2,1,2,470,7.509074553,10.27996909
705,42,49.048545,1,2,2,1,2,470,8.042553191,9.392274574
735,40.261644,56.855289,1,2,2,1,2,470,7.709676511,10.887183
765,29.410882,45.530615,1,2,2,1,2,470,5.631871021,8.718628404
795,22.472205,45.538106,1,2,2,1,2,470,4.303188191,8.720062851
825,33.409704,46.203374,1,2,2,1,2,470,6.397602894,8.847454596
855,23.324121,45.058907,1,2,2,1,2,470,4.466321043,8.62830134
885,25.019992,39.834142,1,2,2,1,2,470,4.791062298,7.627814426
915,23.162633,34.818233,1,2,2,1,2,470,4.435397809,6.667321213
945,25.942244,37.15902,1,2,2,1,2,470,4.967663745,7.115557021
975,23.329489,33.448373,1,2,2,1,2,470,4.467348957,6.405007596
1005,25.059928,40.788182,1,2,2,1,2,470,4.798709617,7.810502936
1035,25.059928,45.812788,1,2,2,1,2,470,4.798709617,8.772661532
1065,21.786942,40.377465,1,2,2,1,2,470,4.171967617,7.731855
1095,32.775341,45.79499,1,2,2,1,2,470,6.276129128,8.769253404
1125,32.905716,46.275438,1,2,2,1,2,470,6.301094553,8.861254085
1155,38.909256,48.107346,1,2,2,1,2,470,7.450708596,9.212044979
1185,35.865669,49.169172,1,2,2,1,2,470,6.867894064,9.415373362
1215,37.572505,39.681963,1,2,2,1,2,470,7.194735,7.598673766
1245,37.376554,46.111789,1,2,2,1,2,470,7.157212468,8.829917043
1275,31.342804,47.26771,1,2,2,1,2,470,6.001813532,9.051263617
1305,27.073973,41.260531,1,2,2,1,2,470,5.184377809,7.900952745
1335,28.944605,45.621065,1,2,2,1,2,470,5.542583936,8.735948617
1365,37.363728,55.018877,1,2,2,1,2,470,7.154756426,10.53552964
1395,24.056768,45.727398,1,2,2,1,2,470,4.606615149,8.756310255
1425,23.78829,40.77943,1,2,2,1,2,470,4.555204468,7.808827021
1455,20.099751,33.13219,1,2,2,1,2,470,3.848888489,6.344461915
1485,26.40244,36.177395,1,2,2,1,2,470,5.055786383,6.927586277
1515,32.68004,42.703857,1,2,2,1,2,470,6.25788,8.177334319
1545,21.095023,30.121026,1,2,2,1,2,470,4.039472489,5.767856043
1575,28.591621,39.589186,1,2,2,1,2,470,5.474991255,7.580907957
1605,18.439089,32.239271,1,2,2,1,2,470,3.530889383,6.173477426
1635,25.822917,39.144104,1,2,2,1,2,470,4.944813894,7.495679489
1665,32.492856,43.495535,1,2,2,1,2,470,6.222036255,8.328932234
1695,27.416408,37.133338,1,2,2,1,2,470,5.249950468,7.110639191
1725,20.396078,37.198223,1,2,2,1,2,470,3.905631957,7.123063979
1755,38.918624,51.278255,1,2,2,1,2,470,7.452502468,9.819240319
1785,38.774084,52.306815,1,2,2,1,2,470,7.424824596,10.01619862
15,47.250364,53.958654,1,2,1,1,2,475,8.952700547,10.22374497
45,61.483533,62.953222,1,2,1,1,2,475,11.64951152,11.92797891
75,51.884487,45.127661,1,2,1,1,2,475,9.830744905,8.550504189
105,53.075418,51.614454,1,2,1,1,2,475,10.05639499,9.779580758
135,44.384682,57.399278,1,2,1,1,2,475,8.409729221,10.87565267
165,61.934765,56.266276,1,2,1,1,2,475,11.73500811,10.66097861
195,45.365099,56.546004,1,2,1,1,2,475,8.595492442,10.71397971
225,41.388376,53.668767,1,2,1,1,2,475,7.842008084,10.16881901
255,54.158209,53.29266,1,2,1,1,2,475,10.26155539,10.09755663
285,26.05259,40.101992,1,2,1,1,2,475,4.936280211,7.598272168
315,48.093659,58.114602,1,2,1,1,2,475,9.112482758,11.01118775
345,78.690046,70.966551,1,2,1,1,2,475,14.90969293,13.44629387
375,38.587563,54.527075,1,2,1,1,2,475,7.311327726,10.33144579
405,58.539624,56.302688,1,2,1,1,2,475,11.09171823,10.66787773
435,40.049969,56.26929,1,2,1,1,2,475,7.588415179,10.66154968
465,65.578131,69.986055,1,2,1,1,2,475,12.42533008,13.26051568
